business_status,formatted_address,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng,icon,icon_background_color,icon_mask_base_uri,name,open_now,photo_height,photo_html_attributions,photo_reference,photo_width,place_id,compound_code,global_code,rating,reference,types,user_ratings_total
OPERATIONAL,"C/ del Comerç, 36, Ciutat Vella, 08003 Barcelona, Spain",41.387356,2.181679,41.38853122989271,2.183134429892722,41.38583157010727,2.180434770107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museu de la Xocolata,False,2976,"<a href=""https://maps.google.com/maps/contrib/101570455031505877626"">Mónica Vargas Grande</a>",ATplDJYFYr_ii0CWFUA8tO56hyAFqj3XdEsx5_r-nXLUVoYNlUKPwrtycqOvvmgCNExOJqc2AMiYr7kWqn6w0MfQhTfUVQVyz9DuPcaBtxSE8mGJ8JNcnsNJebVvVfLIOBioAueAReRsyYrt99IRAkq7aeODaA2OJoNLB4ZhKDro_2ndCQjg,3968,ChIJC6CEtf2ipBIRkFQaF95uL1Q,95PJ+WM Barcelona,8FH495PJ+WM,3.9,ChIJC6CEtf2ipBIRkFQaF95uL1Q,"museum,tourist_attraction,point_of_interest,establishment",7374
OPERATIONAL,"Carrer de la Barra de Ferro, 5, Ciutat Vella, 08003 Barcelona, Spain",41.3850107,2.1802788,41.38634062989272,2.181735879892722,41.38364097010727,2.179036220107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,European Museum of Modern Art,False,4899,"<a href=""https://maps.google.com/maps/contrib/111300941208917638618"">111300941208917638618</a>",ATplDJYNNZnR2U3SzfMWG1He-Ukj-2LQ1Ix5yGC6Ev45eZJIlBlXalBmNpZpZiXzK61dEwgoeAAvDBywPnwnL_2dBcvBv-ctzTk4wa_m7ffFsoGnuSonZEfsIayo5ktbml_9diSR39HGxayNZ_HC-5pwHPw1-sbE1V8aJTqQZ73lTSNXAWSK,7991,ChIJveK7vP6ipBIRiegu-jsxGX8,95PJ+24 Barcelona,8FH495PJ+24,4.5,ChIJveK7vP6ipBIRiegu-jsxGX8,"tourist_attraction,museum,point_of_interest,establishment",1973
OPERATIONAL,"Plaça Sant Iu, 5, Ciutat Vella, 08002 Barcelona, Spain",41.3842687,2.1767598,41.38587222989272,2.177956829892723,41.38317257010728,2.175257170107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museu Frederic Marès,False,3024,"<a href=""https://maps.google.com/maps/contrib/112712618651459928224"">Elianet Pelaez</a>",ATplDJbskMxnQCT5OibmFcwtMaTm2MBHxWEsYveGJK_WK4MuSM5u3lNb6nDWxsNYH-1nzthE03TedMTNOVowdJY56djTinLi0YEC8qKE_Q0A4QqHs04SZ05fU8pBjE-A6wKvc8n0d95NZ9sqcxQtGQGwvKZUTScH6MGdr1T9Kf5ncI5nskRc,4032,ChIJDQeJ-PiipBIRRKhLu4wgf-U,95MG+PP Barcelona,8FH495MG+PP,4.5,ChIJDQeJ-PiipBIRRKhLu4wgf-U,"museum,tourist_attraction,point_of_interest,establishment",2489
OPERATIONAL,"C/ d'Isaac Newton, 26, Sarrià-Sant Gervasi, 08022 Barcelona, Spain",41.4131805,2.131123,41.41493115000001,2.136256899999999,41.41038694999999,2.127912100000001,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museu de la Ciència CosmoCaixa,False,3024,"<a href=""https://maps.google.com/maps/contrib/117178914482982471431"">Rumah Barcelona</a>",ATplDJbeG-vo-s-x7Cj3MH-RbhMKA7ynjCfRzucq_KCUuTeUk0Th0n0DkGyrAZCLgNay1pKNvzPwy9-xn-LoNQiOcvV0C_VfqW-CHjODMsi932eyQQnTyFDzLi8kWjtbBJWOl-3KoFGmsZYgikmLbVmFQd6dhg5wcyxbzwyjC8-3-ZhLVvbH,4032,ChIJzdmhJBqYpBIR83dP63GAFSA,C47J+7C Barcelona,8FH4C47J+7C,4.7,ChIJzdmhJBqYpBIR83dP63GAFSA,"museum,tourist_attraction,point_of_interest,establishment",38600
OPERATIONAL,"C/ de Montalegre, 5, Ciutat Vella, 08001 Barcelona, Spain",41.3837044,2.1668625,41.38506677989272,2.167967529892723,41.38236712010728,2.165267870107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Centre de Cultura Contemporània de Barcelona,False,3024,"<a href=""https://maps.google.com/maps/contrib/100903724352841557024"">Sotirios Siamandouras</a>",ATplDJbNoOMGckVqQt36k0AwRRZ0tf8kw_vqWS_OkbxC8Bwsouw5aHTX-JxZiJJlBCHkFKzzup79bIUqBs1yWwrhI7lsLwouB7GOmA2apH31ywA9jKB4bf8mrl3KlFREmEHYNr9qQSD2HHagCu_j5K9NYDYlonYfYkR62wtFG5hPCLXpXDi3,4032,ChIJLcC0-PSipBIRdHiFCj_ewdY,95M8+FP Barcelona,8FH495M8+FP,4.6,ChIJLcC0-PSipBIRdHiFCj_ewdY,"tourist_attraction,museum,point_of_interest,establishment",9865
OPERATIONAL,"Pl. de les Glòries Catalanes, 37-38, Sant Martí, 08018 Barcelona, Spain",41.4024531,2.1880815,41.40373465000001,2.190967349999999,41.40040204999998,2.186395150000001,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Design Museum of Barcelona,False,3456,"<a href=""https://maps.google.com/maps/contrib/113988576834558262151"">Xuan Yin Liu</a>",ATplDJZtnacGBPIOpDXjOnWJ4IEd2g14t60EmT8fIHXJ86fATVSsXLkhHBzU_LEK_MaL-zHMimNnfXCpbV9b5bQ7hOFNx_QcO5Oad3hlq2FiWYPYL1SOZYLyYqWElEOjja9xN8RyyBowhObAOpY31vOFk9Abyq6hAN58RTvUVLdjP-i5ZEDB,5184,ChIJ12d3ZlmYpBIRStDXELkkdJE,C52Q+X6 Barcelona,8FH4C52Q+X6,4.4,ChIJ12d3ZlmYpBIRStDXELkkdJE,"museum,point_of_interest,establishment",7552
OPERATIONAL,"Plaza Leonardo Da Vinci, 4-5, Sant Martí, 08019 Barcelona, Spain",41.4111948,2.2211093,41.41284082989273,2.221877779892722,41.41014117010728,2.219178120107277,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum of Natural Sciences of Barcelona,False,3024,"<a href=""https://maps.google.com/maps/contrib/116101206081839180527"">samantha kopac</a>",ATplDJa_k3GuIPNx4kvR14cwzFwWwQkxqwMGuNwauDWMgqPFbwZLUNrpDe9j1rzvgvn9L8TuFY09O187RmqmLHijuTP9XkEHtrs3OdrRE-V7rqOXTPozHecLSrmHZiRqBBmAxzeI_SMKo_RrvU7uesUYg5JyGzcYC16rPuoq7W02SFYr4GeA,4032,ChIJZSW6S-eYpBIRpJ1QG2znF9E,C66C+FC Barcelona,8FH4C66C+FC,4.4,ChIJZSW6S-eYpBIRpJ1QG2znF9E,"museum,point_of_interest,establishment",7714
OPERATIONAL,"Park Güell, Ctra. del Carmel, 23A, Gràcia, 08013 Barcelona, Spain",41.4144709,2.1536154,41.41624152989273,2.156021900000001,41.41354187010728,2.1527059,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Gaudí House Museum,False,1456,"<a href=""https://maps.google.com/maps/contrib/105007893156567545344"">Ignacio Diaz Triviño</a>",ATplDJYVW-H0eFtok0XMhKO5QW3xOn8ojo4oTl3LHYp6cPnZX8Bpkvk9Z0VbVlqC4KBYrmhlx3mzPqkCoYe0xXBSu5Az0zNU5PqiNmu3AvjpelNSz6SpzBqiZGqw3ojVpn5EDNa7oDHoSK5hRyjl1Hn-1iEzdlsb6crm_ckYvHpRAxbGpBbV,2160,ChIJ4eD9ztyipBIR_g1BtyluWPM,C573+QC Barcelona,8FH4C573+QC,4.3,ChIJ4eD9ztyipBIR_g1BtyluWPM,"museum,tourist_attraction,point_of_interest,establishment",6249
OPERATIONAL,"C/ d'Arístides Maillol, s/n, Les Corts, 08028 Barcelona, Spain",41.3802643,2.1209085,41.38159627989272,2.122221979892722,41.37889662010728,2.119522320107277,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,FC Barcelona Museum,False,3000,"<a href=""https://maps.google.com/maps/contrib/103620952293322272703"">jorge alvarez</a>",ATplDJb7zIKUvSUs9WJ6b66U856q1U8LBELriOa7iw5bao-d4ChlvAKGccFyoKKyZZSJFudKfntRDddamTBdqVykfYIlB3D1YuvcBmIsY9THxjQ69q6i_Md33i6Ur0bKD8fuc3UH1L9Yf5cSnNtpojX3T7YCIe6QduLC36V_V9WIzJmxIrIy,4000,ChIJ8Xo6PvSYpBIRL-dJTf5d_Ws,94JC+49 Barcelona,8FH494JC+49,4.6,ChIJ8Xo6PvSYpBIRL-dJTf5d_Ws,"tourist_attraction,museum,point_of_interest,establishment",18063
OPERATIONAL,"Pg. de Gràcia, 92, L'Eixample, 08008 Barcelona, Spain",41.3952155,2.1619024,41.39652207989273,2.163307229892723,41.39382242010728,2.160607570107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,La Pedrera-Casa Milà,True,3750,"<a href=""https://maps.google.com/maps/contrib/102888276412420232045"">luis vidilla</a>",ATplDJZjVw4LLB6bgY3wu4osP3U5-gpqELjv1OqPChEWvO2HAbLZBaxAlStpU-5lhvTj9DA6SKNgtPseSzOYqVGuXQhmjf22-uaIcdM1eFX5yw2s4XdxYUmx67MvcxjdBDvIjFrQoDFAu0OsBoU1L6JSAjADoJZ0qoeLwyuqor5FQcwjrgiy,6000,ChIJ1eGKmZOipBIRah43T2Kjn8Q,95W6+3Q Barcelona,8FH495W6+3Q,4.6,ChIJ1eGKmZOipBIRah43T2Kjn8Q,"tourist_attraction,museum,point_of_interest,establishment",90841
