time,text,rating,place_name,place_category
2013-04-16,"Nice hostel! Rooms are clean, tidy and cozy, cleaned frequently. Breakfast are simple...even though they are the same everyday..they are filling...and nice...tea or coffee or cocoa with milk..and bread..with diff types of bread-spread for u to choose from. There is a fridge and 3 types of oven in the kitchen. The hostel is 3 storied...i think...but never had bathroom shortage problem...there are 2 or mayb 3 common bathrooms with toilet... Sara is so friendly and nice! She speaks english fluently...helped alot with places to go...and advices for trips... The hostel is abit far from city centre...but the metro station is very near to the hostel...around 5 min away...metro took around 30 minutes to reach central metro station for switching trains...early departure from hostel and starting your day early would cause no problem to your schedule at all... There is washing machine and dryer and iron and lockers... Overall this is an excellent hostel! Even better than a 3-stars Hotel i stayed few nights before in Prague...I would say this is a hostel-like 3 star Hotel! would definitely go back there if i were to go Barcelona again! :)",5,Albergue Studio Hostel,accommodation
2013-06-11,"I stayed at his hostel two years ago and I still remember nice atmosphere and helpful staff. Great place to stay, an excelent location nearby mountains.",4,Albergue Studio Hostel,accommodation
2007-12-24,"Hi Stayed there during the summer, excellent hostel, very colse to the city center, turist bus goes from Plaza sarria couple of minutes walk from the hostel. Very friendly staff.",5,Albergue Studio Hostel,accommodation
2013-05-11,Carlos is the man. He helped us find the place at 3am. Great service.,4,Husa Pedralbes,accommodation
2013-06-04,"Clean, well serviced, mid-sized hotel. No boutique pretensions thankfully, despite being pretty modern design-wise and easy on the eye. An easy twenty minute stroll downhill to tons of popular bars/restaurants. Nice place.",4,Silken St. Gervasi,accommodation
2009-04-28,"The Silken St. Gervasi is a nice hotel in the city of barcelona. It is close to the subway (300m to Pudex L7), a ride to the city center takes only 12 minutes. My room was quite nice, tidy an so on. In sum I can recommend this hotel.",4,Silken St. Gervasi,accommodation
2013-08-15,"Quality service at low cost, friendly personnel.",5,Hotel Eurostars Anglí,accommodation
2012-09-15,"We were there on a business trip in 2008. The apartments are modern and clean, maybe a little bit on the small size. From the metro station down the road, you can get almost everywhere in the city.",5,Apartamentos Descartes,accommodation
2013-08-14,"Very nice hotel, located in a nice area, close to Park Güell. It was clean and the staff were very helpful. I loved the big terrace of the room. What I didn&#39;t like was that the bathtub had a glass side panel and it was a bit small for me. Also the hotel parking was full",4,Hotel Eurostars Mitre,accommodation
2013-01-31,"I was surprise for the price that I booked and expecting the worst, the hotel is cleaned, modern and the bedroom was great. If you are planning to use the metro, be ready to walk for 15 minutes, before you get there, but the staff was really helpful.",4,Hotel Eurostars Mitre,accommodation
2011-09-18,Fine hotel with a better than average breakfast. Sweet and helpful employees. Very close to El Putxet subway station (L7). If possible ask for a room on the 5th floor; they have a balcony.,4,Hotel Eurostars Mitre,accommodation
2013-02-11,"Good location and very clean. It will be much more better if the house keepers could speak English....... Anyway, the breakfast is perfect.",4,Casa Con Estilo,accommodation
2013-07-18,"A very good experience for the price. The A/C worked really well and the shower was good. The WiFi worked, but it was of course quite slow (probably limited to 0.5/0.5 Mbps) and you had to ask for a new user account every 4 days, still better than nothing. It was good enough for checking email and light browsing, but not enough for video streaming etc. The neighborhood was really calm, but it is quite far from everything, about 1 km walk to the closest metro station.",4,Hotel Ibis Barcelona Meridiana,accommodation
2010-11-19,"IBIS standard quality and afforable pricing, but the location is remote so budget for a taxi.",4,Hotel Ibis Barcelona Meridiana,accommodation
2013-02-11,"A good place for the environment and the garden, which I personally like very much.",4,Feetup Garden House Hostel Barcelona,accommodation
2011-06-29,a really fun hostel. Loads of things to do and people to meet. The staff are really friendly and helpful too. Definitely one of the best places to stay in Barcelona.,5,Feetup Garden House Hostel Barcelona,accommodation
2011-05-01,"Great place! Highly recommend it for tourists who want to relax in a clean, beautiful, well-organized hostel away from the noisy downtown core. There is an amazing park nearby where you can view the whole city. If you go to Barcelona for the sights, this is for you. If you go to Barcelona for the nightlife, find someplace downtown.",5,Feetup Garden House Hostel Barcelona,accommodation
2011-08-28,Garden House is a very nice hostel. Loved my time there! Thanks for the helpful and friendly staff and they have a great garden outside to relax and have the breakfast!,5,Feetup Garden House Hostel Barcelona,accommodation
2009-07-28,This was by far the best Hostel we visited on our trip! The staff is amazing and friendly. The facilities are so clean. They promot social activity.. its great! Stay here- you will not regret it!,5,Feetup Garden House Hostel Barcelona,accommodation
2013-08-22,Very Nice Hotel! Friendly staff always ready for help. The centre of Barcelona is easily reached by metro (10 minute walking distance). And the shoppingmall La Maquinista is next door. Less than a minute walking distance. Very Nice!,5,NH La Maquinista,accommodation
2013-02-02,looking for shirley aline alvorado married william clough family lives in spain somewhere i remember our family came from spain because my grandmas sister passed of breast cancer.ñj0lllll,5,BarcelonaYellow.com Guide,accommodation
2010-06-17,"My boyfriend and I had the perfect vacation in Barcelona while staying at Catalonia Atenas. The staff were helpful, the breakfast was bountiful and delicious and the location was amazing (right next door to the Metro (Clot Station). The pool and sundeck was an added bonus and our room in the 6th floor was ample for the both of us (loved the bidet!). We booked through Air Transat so our hotel was included with the package and airfare...very affordable. I would definitely recommend to anyone who wants value, comfort and convenience. S&amp;M from Toronto, Canada",5,Hotel Catalonia Atenas,accommodation
2013-02-03,Very Good hotel good location,4,Acta INK606,accommodation
2013-09-02,Good prices but loud,4,Hotel Medium Abalon,accommodation
2013-05-19,"I stay here these days. The mansger is very warm and kind however, she can speak only spanish. Most of facilities are good and clean.",4,Hotel Everest,accommodation
2011-10-15,"Modern, very clean, friendly; metro nearby",5,Hotel Medicis,accommodation
2013-03-18,Perfect for 53€ per night. Even with free WIFI.,4,Hotel Aristol,accommodation
2013-07-08,Excellent apartment.Clean and all necessary facilities.Would recommend.Would love to return.,5,Eric Vökel Suites,accommodation
2012-02-13,Great quality at very competitive rates. Very well located.,5,Eric Vökel Suites,accommodation
2011-09-28,"Enjoyed staying here, even though it was just one night. The hostel is very well organised, provides you with laundry machine, refrigerator, fully equipped kitchen and a couple more things. Staff is very friendly and helpful, rooms are clean and spacious enough. Unfortunately, the hostel doesn&#39;t have the best place - there is no problem living a bit far from the city centre, as the metro station is not far away, but it seems to be the highest point in town. It becomes a serious problem when carrying a large backpack. This hardship, however, is compensated by very cheerful and helpful service who aids you as soon as you enter the hostel. Otherwise great and I really recommend it.",4,Feetup Mellow Eco Hostel Barcelona,accommodation
2011-08-19,"I loved my stay in Mellow hostel in Barcelona. The staff was so helpful and alwasy smiling:) They have a big kitchen so it´s nice to cook and eat in the hostel. Also sometimes they have paella nights or burgers that are delicios! The view from there is so beautiful, you can see to the see and to the city. I hope I can return soon:) See you Mellow!",5,Feetup Mellow Eco Hostel Barcelona,accommodation
2010-11-19,This guys rock. Located on a top of a mountain where you can run away from the madness of Barcelona and enjoy the best views of the city. There is one point of the way where you can see the entire Barcelona and the sea. They are Eco friendly and the staff is just the best!!! Very clean and secure with a bust just right in front of the door. Loved their movie selection and the fully equipped kitchen. Best Hostel where I have been...,5,Feetup Mellow Eco Hostel Barcelona,accommodation
2011-03-29,"amanzing hostel!! i love days in here!! wonderfull staff, that always try to help you with everything!! they organize nights with pub crowls and it&#39;s really easy to meet nice people and have a great time and fun. i just felt like home!",5,Feetup Mellow Eco Hostel Barcelona,accommodation
2010-10-16,"The hostel is a bit more quiet than most, so it is a good spot for those seeking to avoid festivities. Checking in was truly a pleasure; I can say with assurance that the staff ranks 5 star in terms of service. The hotel was very clean and safe. Definitely worth staying.",5,Feetup Mellow Eco Hostel Barcelona,accommodation
2009-02-18,I studied Spanish at UAB for a period of 3 months and it wasa great experience. I learned a lot although it can be a bit confusing that there are two official languages in Barcelona (Spanish and Catalan). In any case Barcelona is a wonderful city where there is always something going on.,4,Barcelona-University.es,accommodation
2012-11-02,"Great value for money, clean rooms, WiFi worked fine - even in our room, guess we were lucky (normally only in the reception area if I got it right). Very friendly staff, everyone we met answered all our questions and knew what they were talking about. The surrounding area is really nice, lots of restaurants and bars away from the tourist traps. Five minutes walk to the closest Metro station and the ride to the city center is not much longer.",4,Residència Erasmus Gràcia,accommodation
2013-10-14,"We are here today! The hotel is very clean and pleasant, we like it!",4,Hotel Lesseps,accommodation
2013-08-25,"Cool hostel in an authentic neighborhood ! I recommend this place if you are traveling alone, you will meet people from all over the world quite easily... awesome staff and clean facilities",5,Sant Jordi Hostel Gracia,accommodation
2013-10-19,Always delicious and affordable. One if the loveliest places to pick a take away or enjoy a healthy lunch in the Gracia neighbourhood.,5,Les Tres a La Cuina,accommodation
2013-05-16,"Excellent rooms, service, facilities, decor, breakfast, etc. Only conspicuous negative (for me) was the patchy WiFi connectivity. There&#39;s free best-effort service throughout the hotel and a paid service but neither of those worked consistently or reliably enough. Also the gym was pretty minimal.",5,Astoria,accommodation
2012-07-25,"The standard rooms are nice and airconditioning works well. Wifi in rooms cost, and have different plans depending on for how long. However you have 90 free minutes of free wifi every day in your room. But there is free wifi in the lobby and on the roof-terrace, you have to ask in the reception for the password. Also there is a Starbucks within a 15 minute walk. Service seems alright, but some of them don&#39;t talk english very good, so be aware. All in all I think it is great.",4,Astoria,accommodation
2010-10-02,"Helpful, responsive staff, tasty buffet breakfast, nice rooms w/ modern theme (both of our rooms had windows looking in, so not a view, we had double beds), overall, quiet, restful place. This hotel is located in an area of apartments, businesses, shops, cafes and restaurants (more Diagonal district then Eixample). Across the street is a dance club, down the street is a small playground for children. A good slice of life. Balmes, Gracia and Diagonal streets are close-by w/ restaurants and shops. We took the bus (stop right across hotel), we walked to the metro - very close by. We often ate in nearby cafes - La Flauta and Cafe Paris - good, cheap tapas. Would totally go back. Away from the big tourist crowds.",5,Astoria,accommodation
2009-07-20,"Excellent service, great food for breakfast, very clean rooms, free internet. After traveling throughout Spain for two weeks, a stay at Astoria in Barcelona was a pleasant surprise. I would highly recommend this place to anybody.",5,Astoria,accommodation
2011-04-01,Very clean room. Great front desk service. Close enough to all the sites without being too busy.,4,HCC Covadonga,accommodation
2013-11-05,"Great location , comfortable 3 person room, centrally located yet quiet.",5,HCC Covadonga,accommodation
2013-11-05,Great location and extremely good value,5,HCC Covadonga,accommodation
2013-10-24,"A quite hotel in the main street of Barcelona (Avinguda Diagonal), good for the family, a just 10 min far away from the center by Taxi",4,Wilson Boutique Hotel,accommodation
2011-03-23,"2 night stay at this hotel and found it to be very comfortable and stylish for a cheap priced hotel. The staff were very friendly and helpful and the place was spotless. The location was ok bang in the middle of the shopping mile. The metro 5 mins walk star de catyluna (city centre) 30 mins, just remember on the way back its uphill. The bus stops are nearby and if you have a map the bus can take you anywhere. Would reccomend using the touristic bus get a 2 day ticket hop on and off as much as you like its easier than the metro. Back to the hotel will definately be abck later in the year.",4,Wilson Boutique Hotel,accommodation
2013-07-16,"Friend staff, nice rooms, great location at a competitive price. Will be coming back here again.",4,Hotel Alberta Barcelona,accommodation
2011-11-28,10mbit download speeds via public wifi. Nice rooms!,4,Aparthotel Mariano Cubi,accommodation
2010-09-01,"I stayed at this hotel from August 20th till August 25th 2010. It was a delight. Never been in a better hotel so far. The rooms are big, large I could say. Excellent service. I recommend that you take the breakfast pack because you&#39;ll end up much cheaper than just paying there for it. The hotel is close to whatever you want to visit. Just take the subway and you are there. It&#39;s close to the Avenida Diagonal street and from there you can visit La Pedrera and other sites. Breakfast is diverse and delicious. Oh! Not to forget about the staff. They are very helpful. Whatever information you might need just ask and they will help. They also have tickets at the hotel for the main attractions. so if you by from the hotel you don&#39;t have to wait in line for buying one. We thought it&#39;s not necessary when we went to teh Sagrada Famillia and we ended up staying about 15 minutes on the line. I thought Barcelona would be more spectacular, but it wasn&#39;t. So I would come back to Barcelona only to see what I&#39;ve missed and I would defenely stay at Aparthotel Mariano Cubi. It&#39;s in the city center, but on a quite street. By the way, the rooms are exactly what you see in the pics. Great, great hotel!",5,Aparthotel Mariano Cubi,accommodation
2013-07-26,"For declared 3 star hotel is excellent. Staff is understanding English very well and is helpful. Location also was perfect, as it was close to Diagonal, which was helping not to get lost in the city. From hotel walk to Sagrada Familia was taking around 15 minutes. Rooms are very comfortable, cleaning also was at very high level. Loved this hotel, for next visit to Barcelona will definitely book it again",5,Condado,accommodation
2013-07-23,Excellent hotel with rooms clean and of adequate size. Use of computer in foyer a bonus and all staff friendly and helpful. Only criticism is the breakfast is very over priced. Bar on opposite corner particularly good value. Found taxis when ordered through hotel more expensive than when &quot;flagged down&quot; nearby. This is because meter is started when they get the call rather than when you stop one in the roads nearby.,4,Condado,accommodation
2013-07-14,"Great hotel in a good location. 30/40 min walk to beach. Very kind staff.. Comfy beds. Very clean rooms. Plenty of space for 2 people. Free WiFi and use of computers and printer. Option for a buffet breakfast for extra charge. Some excellent restaurants nearby, about 5-10 min walk. Other cafes and boutiques in surrounding streets. Would highly recommend to others. Thoroughly enjoyed our stay.",4,Condado,accommodation
2013-05-12,"Good hotel for the price. Rooms were clean and in good shape. Front desk staff were friendly and helpful. Found some good restaurants within about a 10 minute walk. There is a subway stop within a 10 minute walk or if you don&#39;t mind walking a bit more a lot of the popular sights (La Sagrada Familia, La Rambla, Parc Güell, etc.) were within about a 20 - 30 minute walk.",4,Condado,accommodation
2013-06-24,"Need to admit that service is top class, all is tidy, clean. Would recommend to anyone who wants to be in a walking distance to all Barcelona&#39;s germs :)",4,Condado,accommodation
2011-05-14,"Friendly Staff, helpful front desk, great breakfasts, dinner not so great. Comfortable rooms with WiFi. Short walk to city centre. Three thumbs up!",4,Hotel Zenit Barcelona,accommodation
2013-01-13,"I have opportunity to stay in hotel Guillermo Tell, it is an excellent place to stay. I love the clean environment, the WiFi service is very good.",5,Hotel Guillermo Tell,accommodation
2013-07-06,Accommodation not far away from center with low price and perfect room quality.,5,Hotel Guillermo Tell,accommodation
2009-05-25,"My girlfriend and I just returned from a week in Barcelona where we stayed in Guillermo Tell. It is a lovely hotel, clean and have friendly staff. I will highly recommend this hotel since it is situated in a well connected part of the city.",5,Hotel Guillermo Tell,accommodation
2013-07-02,"We stayed 6 nights in June 2013. The hotel&#39;s position is excelent, 20 minutes walking distance to the Gaudi&#39;s Casa Mila and Casa Batllo. Also there are some supermarkets near. The personal is really friendly. They helped us by sending the itinerary from the airport to the hostel. We also received free maps and discounts. Even though we had a room without bath, this wasn&#39;t disturbing. The toilets and the showers were very clean, like the rest of the hostel. I will return there with great pleasure.",5,Alogar,accommodation
2012-01-24,"Our family stayed here in 2009 and we were extremely pleased. The rooms, which are small but efficient, were clean and pleasant. The location is superb - easy access to public transit, good for walking to tourist sites, in a safe area, convenient parking, and convenient to groceries and restaurants. The staff was superb - helpful and charming. All this, and incredibly affordable. Unless you&#39;re looking for luxury as your top priority, Aparthotel Silver is highly recommended.",4,Aparthotel Silver,accommodation
2010-03-05,"My brother and I stayed in the room adjacent to the office. It had a great balcony overlooking the street which was a bit noisy, but at the same time desirable in the way that it allowed us to look out onto the neighborhood, open up the room to some sunlight and enjoy the crisp Barcelona air. The train station was very convenient and located about a block away. We walked from our hostel to Parc de Guell, then onto La Segrada and even took a stroll down to the beach. It&#39;s a straight shot down Gran de Gracia and it&#39;s nearly impossible to get lost if you don&#39;t know your way around like we didn&#39;t. The staff were very friendly and I was even able to pay a little extra for wifi internet which was key for accessing email from my laptop. The room was clean (not white gloves clean, but clean enough for me and this coming from someone who vaccums their house 3 times a week!). The shared bathroom and shower were always clean and private. I&#39;m not one to like to share bathrooms and was very surprised how &#39;ok&#39; I was with it. There is a sink and mirror in the bedroom where you can wash up too. Overall very happy with the experience. Considering the many hostels I&#39;ve been in and stayed at from the U.S. to Asia, this one gets a thumbs up from me!",4,Hostal San Medin,accommodation
2012-01-23,"Unfortunately, the hostel closed last November",4,Hostal San Medin,accommodation
2011-02-18,"Fist time staying in hostal. Came for MWC event and was pleasantly surprised. Rooms, bathrooms and corridors are cleaned every day, staff is polite and helpful. If you do not mind sharing a bathroom with others (and there are several bathrooms here, so you don&#39;t ever wait in line), it is a great place to stay. Easy access to the city center (bus 58 or metro) makes it a great place to stay.",5,Hostal Valls,accommodation
2011-09-16,Thank you Mayan Urban Spa for the unforgettable experience! Definitely not my last time at your spa. Keep up with the good work and see you soon! :),5,Mayan Urban Spa,accommodation
2013-11-21,"Bienvenidos al hostal Barcelona City Street, un hostal urbano y familiar para disfrutar de tu alojamiento en Barcelona! Welcome to Barcelona City Street, a Bed and Breakfast urban and family to enjoy your stay in Barcelona!",5,Barcelona City Street,accommodation
2010-09-01,"Engrande is the best travel agency in the world. We are accomodation provider in Central London and we have contact with a lot of agencies from around the world but Engrande is truly the best in the world. This is because their system is exceptionally user friendly, their exposure is vast and they have excellent people like Mr. Vincent Das. If there are any problems, they sort out very quickly and in an efficient manner. The guests who book with engrande are very happy with their service as well. After all they are unique as they are the only one who have videos of accomodations on their website!!!",5,EnGrande SL,accommodation
2010-08-17,"Hi, I would like to thank you for you kind support and the quick response we have from your team. I don&#39;t have a lot of time because I have a full time job so I was surprised when I had an issue with a double booking and how quick the response was. The guest did not relies the changes on the background. The booking program is excellent and I&#39;ve recommended you to my friends and other hotel business in the UK. Keep up the good work! Saludos, Rafael",5,EnGrande SL,accommodation
2011-08-03,"Wine Tour and Team Building - Barcelona Event Organisation. My Company SCOTCHILE.UK decided to hold a team building eventin Barcelona to help bond our employees and boost morale and working mentality within the Company.I must stress this was a big decision as we had no previous experience and did not speak the local language. A big thank you to B.E.O for organising an excellent Wine Tour at Torres followed by a very enjoyable small. Treasure Hunt in the centre of Barcelona,finishing off with a fantastic dinner at La Fonda restaurant in the Port Olimpic.We will never forget this bonding experience and we could not have done without the excellent help of B.E.O whose staff were first class and always willing to help us out and even go further than what was required.We will be using you again and i will also be recommending you to other U.K and European companies which i do Business with on a regular basis.Morale and productivity has certainly improved in our workplace.Big thanks again B.E.O. You guys were awsome.",5,Barcelona Event Organisation,accommodation
2009-07-22,"We staid in the apartment Calabria - Diputacion it was very nice! The place of the apartment is very good and convenient, very good facilities. We had a great time and will tell more people to come and visit.",5,Rent 4 Days,accommodation
2011-10-20,This 5-star hotel is definetly worth a trip to see the spectacular infinity pool. Be aware that a glass of house wine is 12€,4,Casa Fuster,accommodation
2013-04-24,Great hotel in Barcelona. Book in advance for discounts.,5,Gallery Hotel,accommodation
2013-08-04,"This is by far one the best hotels we have ever stayed in. The service was exceptional. Every question we had they patiently helped us with. When we wanted tickets printed for various things we were going to do, they would print it for us and deliver to our room. The location is also a bonus since it is central to many things like La Padrera, Nou Camp (if there is a game on, it is a must to watch it), Sagrada Familia, La Ramblas and so on. There are buses that go to all of these places for 2 euro per person one way and are very easy to look up on Google. We got around for 5 days without getting lost and only taking a cab twice. There is a little bit of noise from the street, but should not bother people at all. For breakfast we would walk down to the pans and company, about 2 blocks away, every morning for a very delicious meal and coffee and its a fair price. The gym actually has proper equipment and the rooftop pools are nice in summer. We could not have asked for more here and really hope others will stay here.",5,Hotel Condes de Barcelona,accommodation
2012-03-21,The location is perfect and the staff are very friendly. The rooms vary from classic to modern.,4,Hotel Condes de Barcelona,accommodation
2011-11-08,"Very nice place to stay. Clean accomodations. Kitchen, Fridge, TV lounge, Wi-Fi, WCs. Guillermo is a great nightlife guide. Good location.",5,Hotel Paseo De Gracia,accommodation
2011-02-28,"Excellent location, good service. Rooms a bit cramped tho.",4,Hotel Majestic,accommodation
2011-07-29,Location Location Location! And also great views from the rooftop terrace... Deluxe room is rather small but nicely decorated. Marble bathrooms and rooms decorated in white and bright colors.,5,Hotel Majestic,accommodation
2012-12-01,"immaculate location, clean and tidy room...very nice view!",4,Hotel Murmuri,accommodation
2013-03-21,"Hotel Omm is a 5-star hotel in Barcelona. It is ideally located in the elegant Eixample district. It is an impressive example of Catalan hotel design, steps from Diagonal metro and just a few minutes&#39; walk from Gaudí&#39;s La Pedrera.",4,Hotel Omm Barcelona,accommodation
2010-09-19,"One of the best meals we had in Spain during our 2 week trip to Barcelona, Bilbao, Santander, San Sebastian and St. Jean de Luz (France). While it was a bit pricey, the quality was extraordinary. The dover sole was oustanding. The appetizers and deserts devine. The sommelier was the best we&#39;ve had anywhere in the world.",5,Hotel Omm Barcelona,accommodation
2010-11-24,"Stylish and modern hotel with a great vibe, centrally located in the heart of the shopping district and boutiques of Paseo de Gracia. The lobby lounge is a convenient place to meet friends for drinks.",5,Hotel Omm Barcelona,accommodation
2012-03-03,"Had dinner at the MOO restaurant , a very nice experience to taste a suggested by the chef matching wine for every dish . I strongly recommend",5,Hotel Omm Barcelona,accommodation
2011-11-20,"Great location,very nice terrace restaurant. Breakfast buffet dull. Nice rooms, however there is still room for improvement if the hotel is to be considered 5* even in the suites.",4,Hotel Claris,accommodation
2013-12-08,"Stayed with my 3 children and they loved it, people are really friendly and helpful, great place!",5,Casa Gracia,accommodation
2013-07-07,quite nice but it is needed to restore,4,Hostal H.m.b.,accommodation
2011-10-17,Rooms are a bit small but very usefull. The location of the hotel is sublime,5,HCristina,accommodation
2009-02-24,"I stayed at Nisia in August 2008. At the time Alex &amp; Carina (the original owners) were in charge and they&#39;re very helpfull &amp; extremely nice people. It was my 1st time travelling alone so their advice &amp; tips on the city&#39;s sites and local cuisine were very wonderful! The rooms are cosy, clean &amp; tidy, and also cleaned every day. The shower was a bit small but clean. You have everything you need for a comfortable stay. The location of the B&amp;B is amazing, close to the city&#39;s centre (Placa de catalunya, Ramblas, harbour etc.), the subway &amp; several buslines are only a couple of minutes walking away. On top of all this I was very lucky because I stayed there during the Gracia-festival which is always in the 3rd week of August. The neighbourhood is very much alive than, at the evening/night there are always many things to do, lovely restaurants to go to, performances and concerts to see etc.",5,Nisia Bed & Breakfast,accommodation
2013-05-03,great place! very clean rooms and friendly service!,5,Duo By Somnio Hostels,accommodation
2012-08-20,"I&#39;m from Amsterdam and it was the first time I booked a room at a hostel. I had booked only for one day but at the same day I met really nice people so I booked one more day, and then an another day haha (3 nights). The service was very good, there was a good atmosphere in the hostel and at a good spot. A special SHOUT OUT to Greg!! Had a great time at my first time in Barcelona!",5,Sant Jordi Diagonal,accommodation
2013-06-27,"Good location, good value for money, great for self-catering travellers, ladies who run that place could speak a little bit better English (or I should have learned some Spanish ;) In general it is decent place to stay for couple of nights.",4,Residencia d´Estudiants Nuria,accommodation
2012-12-11,"By far one of the best hostels in Barcelona. Excellent location and best value and quality of service made my experience in Barcelona amazing. The staff is very helpful and always ready to show a smile and a joke with very useful tips... very recommended!! the neighbourhood is very nice and calm, perfect for barcelona, as you walk 10 minutes and you are in the hearth of the city most attractive spots.",5,Gràcia City Hostel Barcelona,accommodation
2013-05-06,"Awesome, great people, great location, great price, facundo helps you with anything at any time since he manages to sleep about 20 minutes a day ;)",5,Gràcia City Hostel Barcelona,accommodation
2013-11-06,"Definitely my favorite place in Barcleona. Great Staff, great facilities, amazing terrace. Right in the city center!",5,Rodamón Hostel,accommodation
2013-10-30,"These guys are great, i have used them twice and i have never been desappointed and when i needed something they did their best to help me! I loved the location of the flats on Santa Tacla was a great location close to everything with some nice little restaurants and shops! I always prefer renting a flat in Barcelona so you feel like you live there and its nice to have your own privacy!",5,ApartEasy Apartments,accommodation
2013-03-31,"Great value. Really nice room: well-designed, clean and new-looking. Wifi worked fine. Didn&#39;t have breakfast so can&#39;t comment. Staff were friendly and helpful.",4,Hotel Sagrada Familia,accommodation
2012-12-26,"Great modern hotel right in the center of the old city. Breakfast is ok, rooms are very clean and pool on the roof is very relaxing. 24 hour service at the desk and very friendly and helpful people. Overall great hotel!",4,Hotel Sagrada Familia,accommodation
